"동별","주택종류별","항목","단위","2018 년","2019 년","2020 년","2021 년","2022 년",
"동대문구","영업겸용주택","주택종류별 주택 (동별)","","2953","2934","2834","2793","2763",
"동대문구","아파트","주택종류별 주택 (동별)","","60386","64081","65033","66512","68445",
"동대문구","연립주택","주택종류별 주택 (동별)","","3181","3280","3274","3287","3298",
"동대문구","다세대주택","주택종류별 주택 (동별)","","16093","16834","16511","16569","17090",
"동대문구","비거주용건물내주택","주택종류별 주택 (동별)","","1658","1636","1582","1531","1498",
"중랑구","종류별 주택수","주택종류별 주택 (동별)","","105691","107997","112364","114488","118357",
"중랑구","단독주택","주택종류별 주택 (동별)","","19208","18891","18560","17995","17751",
"중랑구","일반단독주택","주택종류별 주택 (동별)","","1968","1836","1787","1701","1668",
"중랑구","다가구주택","주택종류별 주택 (동별)","","13968","13719","13464","12967","12765",
"중랑구","영업겸용주택","주택종류별 주택 (동별)","","3272","3336","3309","3327","3318",
"중랑구","아파트","주택종류별 주택 (동별)","","51475","52162","55499","56651","59121",
"중랑구","연립주택","주택종류별 주택 (동별)","","4451","4440","4466","4423","4466",
"중랑구","다세대주택","주택종류별 주택 (동별)","","29040","30958","32303","33916","35535",
"중랑구","비거주용건물내주택","주택종류별 주택 (동별)","","1517","1546","1536","1503","1484",
"성북구","종류별 주택수","주택종류별 주택 (동별)","","129994","136437","138621","140138","142602",
"성북구","단독주택","주택종류별 주택 (동별)","","24207","23156","22520","21661","20892",
"성북구","일반단독주택","주택종류별 주택 (동별)","","10847","9995","9622","9240","8819",
"성북구","다가구주택","주택종류별 주택 (동별)","","10257","10112","9897","9476","9157",
"성북구","영업겸용주택","주택종류별 주택 (동별)","","3103","3049","3001","2945","2916",
"성북구","아파트","주택종류별 주택 (동별)","","71754","77457","79206","80967","83701",
"성북구","연립주택","주택종류별 주택 (동별)","","6097","6044","6262","6230","6146",
"성북구","다세대주택","주택종류별 주택 (동별)","","26446","28315","29213","29900","30510",
"성북구","비거주용건물내주택","주택종류별 주택 (동별)","","1490","1465","1420","1380","1353",
"강북구","종류별 주택수","주택종류별 주택 (동별)","","95097","97070","97452","97840","99477",
"강북구","단독주택","주택종류별 주택 (동별)","","18185","18017","17557","17261","17134",
"강북구","일반단독주택","주택종류별 주택 (동별)","","5314","5089","4814","4690","4640",
"강북구","다가구주택","주택종류별 주택 (동별)","","10348","10386","10222","10072","9995",
"강북구","영업겸용주택","주택종류별 주택 (동별)","","2523","2542","2521","2499","2499",
"강북구","아파트","주택종류별 주택 (동별)","","33282","34590","34733","34875","35997",
"강북구","연립주택","주택종류별 주택 (동별)","","4881","4748","4789","4834","4867",
"강북구","다세대주택","주택종류별 주택 (동별)","","37671","38645","39331","39859","40483",
"강북구","비거주용건물내주택","주택종류별 주택 (동별)","","1078","1070","1042","1011","996",
"도봉구","종류별 주택수","주택종류별 주택 (동별)","","105526","106641","107156","107959","109190",
"도봉구","단독주택","주택종류별 주택 (동별)","","8903","8835","8634","8449","8381",
"도봉구","일반단독주택","주택종류별 주택 (동별)","","1533","1462","1412","1327","1308",
"도봉구","다가구주택","주택종류별 주택 (동별)","","5737","5732","5586","5485","5441",
"도봉구","영업겸용주택","주택종류별 주택 (동별)","","1633","1641","1636","1637","1632",
"도봉구","아파트","주택종류별 주택 (동별)","","64580","64955","65032","65305","65664",
"도봉구","연립주택","주택종류별 주택 (동별)","","4176","4131","4144","4201","4229",
"도봉구","다세대주택","주택종류별 주택 (동별)","","27138","27986","28620","29289","30210",
"도봉구","비거주용건물내주택","주택종류별 주택 (동별)","","729","734","726","715","706",
"노원구","종류별 주택수","주택종류별 주택 (동별)","","186533","187376","189213","190352","192022",
"노원구","단독주택","주택종류별 주택 (동별)","","6783","6680","6619","6553","6519",
"노원구","일반단독주택","주택종류별 주택 (동별)","","2279","2173","2132","2097","2097",
"노원구","다가구주택","주택종류별 주택 (동별)","","3361","3363","3332","3295","3262",
"노원구","영업겸용주택","주택종류별 주택 (동별)","","1143","1144","1155","1161","1160",
"노원구","아파트","주택종류별 주택 (동별)","","161273","161873","163502","164583","166131",
"노원구","연립주택","주택종류별 주택 (동별)","","3467","3440","3448","3444","3487",
"노원구","다세대주택","주택종류별 주택 (동별)","","14312","14684","14948","15089","15212",
"노원구","비거주용건물내주택","주택종류별 주택 (동별)","","698","699","696","683","673",
"은평구","종류별 주택수","주택종류별 주택 (동별)","","144611","148557","150658","156710","160630",
"은평구","단독주택","주택종류별 주택 (동별)","","16000","15146","14937","14627","14469",
"은평구","일반단독주택","주택종류별 주택 (동별)","","4846","4350","4223","4073","4036",
"은평구","다가구주택","주택종류별 주택 (동별)","","8546","8199","8111","7977","7861",
"은평구","영업겸용주택","주택종류별 주택 (동별)","","2608","2597","2603","2577","2572",
"은평구","아파트","주택종류별 주택 (동별)","","52607","57712","59438","64712","67705",
"은평구","연립주택","주택종류별 주택 (동별)","","6297","5914","5830","5842","5831",
"은평구","다세대주택","주택종류별 주택 (동별)","","68390","68514","69210","70307","71420",
